source_account,agent_active_at_bet,market_id,question,category,outcome_bet,estimate_at_bet,market_price_at_bet,amount_mana,horizon_days_at_bet,resolved_outcome,resolved_at,realized_pnl_mana,platform
CalibratedGhosts,Archway,p2hsQpqyu0,Will the US federal government fully reopen by Feb 12?,misc,SOLD,,,129.0,0,YES,2026-02-12T03:15:51.382000+00:00,-129.0,manifold
CalibratedGhosts,Trellis,p2hsQpqyu0,Govt reopen - streak bet,misc,YES,,,1.0,0,YES,2026-02-12T03:15:51.382000+00:00,1.0,manifold
CalibratedGhosts,Archway,IpNy52Qh29,"Will OpenAI announce a new full-size, frontier model >5.2 before March 1, 2026?",ai,YES,0.644,0.567,20.0,17,NO,2026-03-01T01:01:12.339000+00:00,-20.0,manifold
CalibratedGhosts,Archway,spIycZIAqI,Will Congress fund DHS by Feb 13?,politics,YES,0.136,0.133,4.0,3,NO,2026-02-14T09:40:09.285000+00:00,-4.0,manifold
CalibratedGhosts,Archway,p2hsQpqyu0,"Will US federal government fully reopen by Feb 12, 2026?",misc,YES,0.7766,0.7227,25.0,1,YES,2026-02-12T03:15:51.382000+00:00,7.19,manifold
CalibratedGhosts,Trellis,p2hsQpqyu0,Will the US federal government fully reopen by Feb 12?,misc,YES,,,1.0,1,YES,2026-02-12T03:15:51.382000+00:00,1.0,manifold
CalibratedGhosts,Trellis,gZIRIcPnId,Black national anthem performed at super bowl lx?,sports,YES,,,30.0,5,YES,2026-02-19T20:40:22.769000+00:00,30.0,manifold
CalibratedGhosts,Trellis,ylQnEcgzdU,Will OpenAI release GPT 5.3 by end of Feb?,ai,YES,,,25.0,18,NO,2026-03-01T05:49:30.995000+00:00,-25.0,manifold
CalibratedGhosts,Trellis,IlONPR5pLR,Will the US and Iran issue a joint statement?,geopolitics,NO,,,30.0,1,NO,2026-02-12T19:56:04.602000+00:00,30.0,manifold
CalibratedGhosts,Trellis,p2hsQpqyu0,Will the US federal government fully reopen by Feb 12?,misc,YES,,,100.0,1,YES,2026-02-12T03:15:51.382000+00:00,100.0,manifold
CalibratedGhosts,Archway,RzgZnOn220,Will Super Bowl LX set a new all-time record for US television viewership?,sports,YES,,,15.0,0,NO,2026-02-11T02:02:22.690000+00:00,-15.0,manifold
CalibratedGhosts,Trellis,RzgZnOn220,Super Bowl LX viewership record,sports,YES,0.636,0.61,20.0,0,NO,2026-02-11T02:02:22.690000+00:00,-20.0,manifold
CalibratedGhosts,Archway,Ehu8pd5PLP,Clawdbot exfiltration proven by end Feb,misc,NO,0.494,0.499,10.0,22,NO,2026-03-06T14:11:50.731000+00:00,9.76,manifold
CalibratedGhosts,Trellis,Ehu8pd5PLP,Clawdbot exfiltration proven by end Feb,misc,NO,0.5,0.5,10.0,22,NO,2026-03-06T14:11:50.731000+00:00,10.0,manifold
CalibratedGhosts,Archway,8y9hsccOnU,Claude 5 released before March 31?,ai,NO,0.626,0.638,20.0,50,NO,2026-04-01T08:41:33.706000+00:00,33.48,manifold
CalibratedGhosts,OpusRouting,8y9hsccOnU,Claude 5 before March 31,ai,NO,0.568,0.596,50.0,50,NO,2026-04-01T08:41:33.706000+00:00,65.74,manifold
CalibratedGhosts,OpusRouting,RzgZnOn220,Super Bowl LX viewership record,sports,YES,0.288,0.174,40.0,0,NO,2026-02-11T02:02:22.690000+00:00,-40.0,manifold
CalibratedGhosts,Archway,5UZEQtgUQh,5UZEQtgUQh,misc,YES,,,20.0,,YES,2026-02-13T12:00:31.490000+00:00,20.0,manifold
CalibratedGhosts,Archway,Sh9L8I2hcy,Sh9L8I2hcy,misc,NO,0.05,,370.0,,YES,2026-04-24T21:55:37.765000+00:00,-370.0,manifold
CalibratedGhosts,Archway,2Ncu6yN2nz,2Ncu6yN2nz,misc,NO,0.05,,296.0,,NO,2026-05-01T10:46:03.189000+00:00,15.58,manifold
Terminator2,Terminator2,LlOEs6AdhU,Will today be a prime-numbered day?,misc,NO,0.0,0.36,100,,NO,2026-03-12T20:18:22.439467+00:00,32.12,manifold
Terminator2,Terminator2,9zyduu2qdQ,Did Japan get equal tourists from Australia and USA in January? (+/- 10%),geopolitics,NO,0.02,0.138,40.45,,NO,2026-03-18T02:28:42.368957+00:00,6.01,manifold
Terminator2,Terminator2,gnlyuIP9c5,"Will a new AI model be more capable than GPT-4 before January 1, 2027?",ai,YES,0.96,0.827,20,,YES,2026-03-19T17:03:34.310163+00:00,3.82,manifold
Terminator2,Terminator2,ZqALILduEO,Will MiniMax release the weights of its M2.7 model by the end of the week?,ai,NO,0.05,0.1736,20,,NO,2026-03-22T01:50:46.449323+00:00,3.85,manifold
Terminator2,Terminator2,nR6c9u2qdn,Will Cardano go up in the next 24 hours?,misc,YES,0.48,0.35,20,,NO,2026-03-23T04:04:24.124070+00:00,-20,manifold
Terminator2,Terminator2,P6RPpZnOlN,WILL REAL MADRID BEAT ATLETICO MADRID ON 22ND MARCH,misc,NO,0.47,0.75,20,,YES,2026-03-23T04:04:24.124098+00:00,-20,manifold
Terminator2,Terminator2,QA5zgO2glO,"Will Brent Crude Oil close above $115 on March 25, 2026?",economics,NO,0.02,0.28,40,,NO,2026-03-25T17:11:32.801280+00:00,12.0,manifold
Terminator2,Terminator2,dzA08Pus6Z,"Is Donald Trump going to say, ""Should I exterminate Iran?""",politics,NO,0.02,0.2117,20,,NO,2026-03-28T14:23:33.450416+00:00,4.87,manifold
Terminator2,Terminator2,ARQPn9EAU8,Will ARC AGI 3 be easy for humans and hard for AI?,ai,YES,0.65,0.5,19.63,,CANCEL,2026-03-29T06:30:44.291624+00:00,0,manifold
Terminator2,Terminator2,pulqzqzCnA,Will the NSF send offer letters for the 2026-2027 MSPRF by March 24?,misc,NO,0.12,0.3075,40.17,,NO,2026-03-29T18:12:38.793758+00:00,17.6,manifold
Terminator2,Terminator2,S6ptd5pAsE,Will the US attack Iran's energy sites before the end of the 5-day pause?,geopolitics,NO,0.03,0.177,15,,NO,2026-03-30T14:01:31.857358+00:00,3.01,manifold
Terminator2,Terminator2,uB5LiV3lpfItIdrJdVjL,Will Claude Opus be ranked in the top 20 on the Chatbot Arena Leaderboard two years from today (3/10/24)?,ai,NO,0.01,0.0416,20,,NO,2026-03-31T22:17:17.288796+00:00,0.86,manifold
Terminator2,Terminator2,A092qz068z,"Will WTI Crude Oil close below $85.00/barrel on March 31, 2026?",economics,NO,0.02,0.22,129.33,,NO,2026-03-31T22:17:17.288873+00:00,35.61,manifold
Terminator2,Terminator2,qp29pcz9ZO,Will Gold be between $5000-$6000 by the end of March?,economics,NO,0.01,0.164,93.54,,NO,2026-04-01T07:08:18.460210+00:00,17.2,manifold
Terminator2,Terminator2,yShRpp25pR,"Will the WTI Crude Oil Spot Price be above $95 on March 31, 2026?",economics,YES,0.97,0.76,153.07,,YES,2026-04-01T14:35:27.752871+00:00,47.42,manifold
Terminator2,Terminator2,8E6dRhNpyd,"Will Brent crude oil drop below $100 per barrel by April 30, 2026?",economics,NO,0.3,0.54,57.11,,YES,2026-04-01T22:02:21.855671+00:00,-57.11,manifold
Terminator2,Terminator2,2nhgd8CE8A,Will Artemis 2 launch on or before April 1st?,misc,YES,0.88,0.38,495.83,,YES,2026-04-01T23:06:05.507075+00:00,13.42,manifold
Terminator2,Terminator2,t0LUU2E2ZE,Will the European Commission publish a new quantum strategy document within the next 60 days?,misc,NO,0.03,0.166,40.22,,NO,2026-04-06T23:01:36.047055+00:00,7.92,manifold
Terminator2,Terminator2,cQ020cAP0A,GPT 5.4 METR 50% time horizon,ai,NO,0.18,0.244,2,,sOCOCsU0yg,2026-04-10T18:37:27.642726+00:00,10.09,manifold
Terminator2,Terminator2,C0dC652qlU,Bitcoin $76K in April?,crypto,YES,0.9,0.6946718286568766,0,,YES,2026-04-15T05:46:57.995456+00:00,12.8,manifold
Terminator2,Terminator2,h5cPtR9ghU,"Will the DHS partial shutdown end by April 15, 2026?",misc,NO,0.02,0.233,38.1,,NO,2026-04-17T15:31:18.836751+00:00,10.22,manifold
Terminator2,Terminator2,hqNA8ucRhZ,Will the Trump-Xi April 2026 summit produce a bilateral trade agreement?,politics,NO,0.04,0.26,88.1,,NO,2026-04-17T20:23:35.297171+00:00,23.77,manifold
Terminator2,Terminator2,sLtAudcPqO,sLtAudcPqO,misc,NO,0.15,0.3175246918132313,6.84,,NO,2026-04-21T15:31:27.620101+00:00,3.38,manifold
Terminator2,Terminator2,ILztIIlPyl,Will there be a lethal disaster during the Artemis II mission?,crypto,NO,0.01,0.07,13,,NO,2026-04-24T01:47:51.138446+00:00,0.98,manifold
Terminator2,Terminator2,qsdPAIyOQg,"Will Alcoa announce Final Investment Decision for Wagerup gallium by March 31, 2026?",misc,NO,0.05,0.2264,200,,NO,2026-04-24T01:47:51.138513+00:00,52.82,manifold
Terminator2,Terminator2,llt8uhPPRA,"Will President Paul Biya of Cameroon appoint a Vice President before April 30, 2026?",politics,NO,0.07,0.17999999999999994,83.16,,NO,2026-04-30T12:25:50.269271+00:00,19.0,manifold
Terminator2,Terminator2,l5ttgczEut,"Will US average gas price reach $4.300 in April, 2026?",misc,NO,0.12,0.5934759268758333,0.39,,YES,2026-05-01T01:44:03.576038+00:00,-0.39,manifold
Terminator2,Terminator2,Pt9psUq0gz,Will Solana (SOL) be below $86 on May 1?,crypto,YES,0.5,0.3743,10,,YES,2026-05-01T01:44:03.576175+00:00,19.2,manifold
Terminator2,Terminator2,RcRy5POOpq,Will the US/Israel strike 3 or more Iranian power plants in April 2026,geopolitics,NO,0.03,0.0594,59.19,,NO,2026-05-01T14:53:26.333928+00:00,168.17,manifold
Terminator2,Terminator2,NLPzcQ2Cy9,"Will the US strike Yemen by April 30, 2026?",misc,NO,0.05,0.1637783424775293,15.06,,NO,2026-05-02T16:56:13.245096+00:00,3.11,manifold
Terminator2,Terminator2,EsEQPPlNLR,Will Google release a Gemini version > 3.1 before May 2026?,ai,NO,0.12,0.51,319.68,,NO,2026-05-03T14:16:28.928542+00:00,87.46,manifold
